sample_name,model_type,precision,recall,f1,AUROC,accuracy,DPD,DPR,EO
HC with fairness constraints and equal number of class 1 and class 0 lambda = 47.0,xgboost,0.6420 ± 0.0043,0.6783 ± 0.0226,0.6594 ± 0.0117,0.6130 ± 0.0064,0.6130 ± 0.0064,0.0657 ± 0.0109,0.8935 ± 0.0194,0.0763 ± 0.0171
HC with fairness constraints and equal number of class 1 and class 0 lambda = 47.0,mlp,0.6275 ± 0.0104,0.6589 ± 0.0616,0.6410 ± 0.0248,0.5946 ± 0.0056,0.5946 ± 0.0056,0.0887 ± 0.0380,0.8594 ± 0.0546,0.1062 ± 0.0445
HC with fairness constraints and equal number of protected attribute lambda = 47.0,logistic_regression,0.6732 ± 0.0036,0.6967 ± 0.0240,0.6845 ± 0.0111,0.6460 ± 0.0048,0.6460 ± 0.0048,0.0478 ± 0.0223,0.9193 ± 0.0384,0.0851 ± 0.0157
HC with fairness constraints and equal number of protected attribute lambda = 47.0,random_forest,0.6315 ± 0.0050,0.6643 ± 0.0224,0.6473 ± 0.0105,0.6003 ± 0.0055,0.6003 ± 0.0055,0.0687 ± 0.0296,0.8896 ± 0.0462,0.0618 ± 0.0300
HC with fairness constraints and equal number of protected attribute lambda = 47.0,xgboost,0.6420 ± 0.0043,0.6783 ± 0.0226,0.6594 ± 0.0117,0.6130 ± 0.0064,0.6130 ± 0.0064,0.0657 ± 0.0109,0.8935 ± 0.0194,0.0763 ± 0.0171
HC with fairness constraints and equal number of protected attribute lambda = 47.0,mlp,0.6236 ± 0.0103,0.6089 ± 0.0538,0.6146 ± 0.0252,0.5840 ± 0.0075,0.5840 ± 0.0075,0.0697 ± 0.0625,0.8784 ± 0.1077,0.0896 ± 0.0584
HC with fairness constraints and same size as original dataset lambda = 48.0,logistic_regression,0.6646 ± 0.0032,0.7176 ± 0.0113,0.6900 ± 0.0040,0.6422 ± 0.0019,0.6422 ± 0.0019,0.0727 ± 0.0150,0.8862 ± 0.0198,0.1073 ± 0.0107
HC with fairness constraints and same size as original dataset lambda = 48.0,random_forest,0.6286 ± 0.0042,0.6607 ± 0.0126,0.6442 ± 0.0067,0.5969 ± 0.0048,0.5969 ± 0.0048,0.0183 ± 0.0164,0.9689 ± 0.0274,0.0850 ± 0.0156
HC with fairness constraints and same size as original dataset lambda = 48.0,xgboost,0.6344 ± 0.0082,0.6827 ± 0.0119,0.6576 ± 0.0064,0.6060 ± 0.0081,0.6060 ± 0.0081,0.0232 ± 0.0176,0.9616 ± 0.0289,0.0945 ± 0.0121
HC with fairness constraints and same size as original dataset lambda = 48.0,mlp,0.6275 ± 0.0108,0.6256 ± 0.0214,0.6264 ± 0.0140,0.5907 ± 0.0121,0.5907 ± 0.0121,0.0588 ± 0.0392,0.9017 ± 0.0574,0.1098 ± 0.0404
HC with fairness constraints and double the size of original dataset lambda = 48.0,logistic_regression,0.6450 ± 0.0029,0.7301 ± 0.0124,0.6849 ± 0.0063,0.6248 ± 0.0044,0.6248 ± 0.0044,0.1519 ± 0.0430,0.7900 ± 0.0461,0.1841 ± 0.0436
HC with fairness constraints and double the size of original dataset lambda = 48.0,random_forest,0.6356 ± 0.0063,0.7149 ± 0.0078,0.6729 ± 0.0069,0.6124 ± 0.0078,0.6124 ± 0.0078,0.0922 ± 0.0271,0.8638 ± 0.0368,0.1212 ± 0.0301
HC with fairness constraints and double the size of original dataset lambda = 48.0,xgboost,0.6388 ± 0.0025,0.7315 ± 0.0163,0.6819 ± 0.0068,0.6184 ± 0.0031,0.6184 ± 0.0031,0.0822 ± 0.0339,0.8793 ± 0.0489,0.1112 ± 0.0364
HC with fairness constraints and double the size of original dataset lambda = 48.0,mlp,0.6334 ± 0.0113,0.6946 ± 0.0683,0.6606 ± 0.0270,0.6060 ± 0.0087,0.6060 ± 0.0087,0.0751 ± 0.0362,0.8829 ± 0.0590,0.1166 ± 0.0334
HC with fairness constraints and equal number of class 1 and class 0 lambda = 48.0,logistic_regression,0.6699 ± 0.0027,0.6670 ± 0.0134,0.6684 ± 0.0079,0.6370 ± 0.0049,0.6370 ± 0.0049,0.1059 ± 0.0120,0.8271 ± 0.0148,0.1409 ± 0.0129
HC with fairness constraints and equal number of class 1 and class 0 lambda = 48.0,random_forest,0.6367 ± 0.0087,0.6196 ± 0.0179,0.6279 ± 0.0081,0.5983 ± 0.0071,0.5983 ± 0.0071,0.0821 ± 0.0396,0.8622 ± 0.0642,0.1051 ± 0.0365
HC with fairness constraints and equal number of class 1 and class 0 lambda = 48.0,xgboost,0.6452 ± 0.0106,0.6256 ± 0.0216,0.6349 ± 0.0096,0.6067 ± 0.0084,0.6067 ± 0.0084,0.0532 ± 0.0448,0.9078 ± 0.0754,0.0793 ± 0.0292
HC with fairness constraints and equal number of class 1 and class 0 lambda = 48.0,mlp,0.6152 ± 0.0190,0.6625 ± 0.0197,0.6376 ± 0.0120,0.5827 ± 0.0199,0.5827 ± 0.0199,0.0622 ± 0.0343,0.9009 ± 0.0531,0.0858 ± 0.0282
HC with fairness constraints and equal number of protected attribute lambda = 48.0,logistic_regression,0.6699 ± 0.0027,0.6670 ± 0.0134,0.6684 ± 0.0079,0.6370 ± 0.0049,0.6370 ± 0.0049,0.1059 ± 0.0120,0.8271 ± 0.0148,0.1409 ± 0.0129
HC with fairness constraints and equal number of protected attribute lambda = 48.0,random_forest,0.6367 ± 0.0087,0.6196 ± 0.0179,0.6279 ± 0.0081,0.5983 ± 0.0071,0.5983 ± 0.0071,0.0821 ± 0.0396,0.8622 ± 0.0642,0.1051 ± 0.0365
HC with fairness constraints and equal number of protected attribute lambda = 48.0,xgboost,0.6452 ± 0.0106,0.6256 ± 0.0216,0.6349 ± 0.0096,0.6067 ± 0.0084,0.6067 ± 0.0084,0.0532 ± 0.0448,0.9078 ± 0.0754,0.0793 ± 0.0292
HC with fairness constraints and equal number of protected attribute lambda = 48.0,mlp,0.6213 ± 0.0070,0.6429 ± 0.1167,0.6265 ± 0.0528,0.5864 ± 0.0137,0.5864 ± 0.0137,0.0460 ± 0.0352,0.9299 ± 0.0512,0.0742 ± 0.0451
HC with fairness constraints and same size as original dataset lambda = 49.0,logistic_regression,0.6645 ± 0.0048,0.7408 ± 0.0112,0.7005 ± 0.0030,0.6467 ± 0.0030,0.6467 ± 0.0030,0.1847 ± 0.0229,0.7462 ± 0.0306,0.2517 ± 0.0251
HC with fairness constraints and same size as original dataset lambda = 49.0,random_forest,0.6491 ± 0.0076,0.7116 ± 0.0150,0.6788 ± 0.0081,0.6257 ± 0.0083,0.6257 ± 0.0083,0.1251 ± 0.0454,0.8171 ± 0.0628,0.1519 ± 0.0479
HC with fairness constraints and same size as original dataset lambda = 49.0,xgboost,0.6632 ± 0.0046,0.7339 ± 0.0218,0.6966 ± 0.0082,0.6440 ± 0.0034,0.6440 ± 0.0034,0.1600 ± 0.0252,0.7741 ± 0.0326,0.1909 ± 0.0294
HC with fairness constraints and same size as original dataset lambda = 49.0,mlp,0.6394 ± 0.0079,0.7158 ± 0.0319,0.6750 ± 0.0126,0.6162 ± 0.0071,0.6162 ± 0.0071,0.1369 ± 0.0362,0.8049 ± 0.0472,0.1580 ± 0.0370
HC with fairness constraints and double the size of original dataset lambda = 49.0,logistic_regression,0.6767 ± 0.0019,0.6994 ± 0.0105,0.6878 ± 0.0050,0.6499 ± 0.0026,0.6499 ± 0.0026,0.1398 ± 0.0149,0.7867 ± 0.0175,0.1941 ± 0.0224
HC with fairness constraints and double the size of original dataset lambda = 49.0,random_forest,0.6439 ± 0.0015,0.7012 ± 0.0077,0.6713 ± 0.0041,0.6187 ± 0.0026,0.6187 ± 0.0026,0.0807 ± 0.0332,0.8767 ± 0.0476,0.1282 ± 0.0449
HC with fairness constraints and double the size of original dataset lambda = 49.0,xgboost,0.6642 ± 0.0046,0.7235 ± 0.0126,0.6925 ± 0.0070,0.6431 ± 0.0058,0.6431 ± 0.0058,0.1182 ± 0.0211,0.8244 ± 0.0271,0.1675 ± 0.0200
HC with fairness constraints and double the size of original dataset lambda = 49.0,mlp,0.6449 ± 0.0075,0.7057 ± 0.0444,0.6731 ± 0.0178,0.6201 ± 0.0068,0.6201 ± 0.0068,0.0957 ± 0.0456,0.8537 ± 0.0706,0.1304 ± 0.0348
HC with fairness constraints and equal number of class 1 and class 0 lambda = 49.0,logistic_regression,0.6799 ± 0.0042,0.6625 ± 0.0098,0.6711 ± 0.0070,0.6448 ± 0.0057,0.6448 ± 0.0057,0.1379 ± 0.0083,0.7779 ± 0.0117,0.1778 ± 0.0095
HC with fairness constraints and equal number of class 1 and class 0 lambda = 49.0,random_forest,0.6512 ± 0.0043,0.6565 ± 0.0158,0.6537 ± 0.0064,0.6180 ± 0.0027,0.6180 ± 0.0027,0.1516 ± 0.0386,0.7676 ± 0.0506,0.1743 ± 0.0250
HC with fairness constraints and equal number of class 1 and class 0 lambda = 49.0,xgboost,0.6594 ± 0.0022,0.6815 ± 0.0103,0.6702 ± 0.0055,0.6303 ± 0.0033,0.6303 ± 0.0033,0.1555 ± 0.0201,0.7665 ± 0.0242,0.1993 ± 0.0285
HC with fairness constraints and equal number of class 1 and class 0 lambda = 49.0,mlp,0.6395 ± 0.0035,0.6643 ± 0.0214,0.6515 ± 0.0115,0.6083 ± 0.0059,0.6083 ± 0.0059,0.1006 ± 0.0366,0.8426 ± 0.0508,0.1442 ± 0.0349
HC with fairness constraints and equal number of protected attribute lambda = 49.0,logistic_regression,0.6799 ± 0.0042,0.6625 ± 0.0098,0.6711 ± 0.0070,0.6448 ± 0.0057,0.6448 ± 0.0057,0.1379 ± 0.0083,0.7779 ± 0.0117,0.1778 ± 0.0095
HC with fairness constraints and equal number of protected attribute lambda = 49.0,random_forest,0.6512 ± 0.0043,0.6565 ± 0.0158,0.6537 ± 0.0064,0.6180 ± 0.0027,0.6180 ± 0.0027,0.1516 ± 0.0386,0.7676 ± 0.0506,0.1743 ± 0.0250
HC with fairness constraints and equal number of protected attribute lambda = 49.0,xgboost,0.6594 ± 0.0022,0.6815 ± 0.0103,0.6702 ± 0.0055,0.6303 ± 0.0033,0.6303 ± 0.0033,0.1555 ± 0.0201,0.7665 ± 0.0242,0.1993 ± 0.0285
HC with fairness constraints and equal number of protected attribute lambda = 49.0,mlp,0.6443 ± 0.0077,0.6568 ± 0.0615,0.6489 ± 0.0296,0.6113 ± 0.0104,0.6113 ± 0.0104,0.1833 ± 0.0493,0.7261 ± 0.0811,0.2196 ± 0.0490
HC with fairness constraints and same size as original dataset lambda = 5.0,logistic_regression,0.6045 ± 0.0105,0.6500 ± 0.0154,0.6263 ± 0.0093,0.5706 ± 0.0113,0.5706 ± 0.0113,0.0869 ± 0.0354,0.8663 ± 0.0502,0.0873 ± 0.0276
HC with fairness constraints and same size as original dataset lambda = 5.0,random_forest,0.5882 ± 0.0055,0.6545 ± 0.0164,0.6195 ± 0.0103,0.5534 ± 0.0076,0.5534 ± 0.0076,0.0924 ± 0.0226,0.8617 ± 0.0321,0.1488 ± 0.0427
HC with fairness constraints and same size as original dataset lambda = 5.0,xgboost,0.5811 ± 0.0032,0.6679 ± 0.0229,0.6213 ± 0.0116,0.5462 ± 0.0053,0.5462 ± 0.0053,0.0640 ± 0.0093,0.9045 ± 0.0104,0.1011 ± 0.0248
HC with fairness constraints and same size as original dataset lambda = 5.0,mlp,0.5817 ± 0.0058,0.6265 ± 0.0664,0.6013 ± 0.0291,0.5433 ± 0.0040,0.5433 ± 0.0040,0.1163 ± 0.0770,0.8367 ± 0.0907,0.1518 ± 0.0964
HC with fairness constraints and double the size of original dataset lambda = 5.0,logistic_regression,0.5836 ± 0.0078,0.7750 ± 0.0138,0.6658 ± 0.0100,0.5569 ± 0.0116,0.5569 ± 0.0116,0.0752 ± 0.0421,0.9044 ± 0.0507,0.1097 ± 0.0553
HC with fairness constraints and double the size of original dataset lambda = 5.0,random_forest,0.5841 ± 0.0101,0.6628 ± 0.0098,0.6210 ± 0.0091,0.5492 ± 0.0123,0.5492 ± 0.0123,0.0873 ± 0.0662,0.8760 ± 0.0886,0.1023 ± 0.0615
HC with fairness constraints and double the size of original dataset lambda = 5.0,xgboost,0.5807 ± 0.0066,0.7089 ± 0.0316,0.6382 ± 0.0159,0.5486 ± 0.0099,0.5486 ± 0.0099,0.0186 ± 0.0140,0.9728 ± 0.0201,0.0534 ± 0.0273
HC with fairness constraints and double the size of original dataset lambda = 5.0,mlp,0.5822 ± 0.0157,0.6369 ± 0.0648,0.6068 ± 0.0317,0.5450 ± 0.0184,0.5450 ± 0.0184,0.0944 ± 0.0718,0.8672 ± 0.0799,0.1057 ± 0.0824
HC with fairness constraints and equal number of class 1 and class 0 lambda = 5.0,logistic_regression,0.6073 ± 0.0070,0.5771 ± 0.0118,0.5917 ± 0.0082,0.5654 ± 0.0072,0.5654 ± 0.0072,0.0695 ± 0.0309,0.8783 ± 0.0505,0.1055 ± 0.0366
HC with fairness constraints and equal number of class 1 and class 0 lambda = 5.0,random_forest,0.5737 ± 0.0089,0.5327 ± 0.0342,0.5519 ± 0.0199,0.5297 ± 0.0092,0.5297 ± 0.0092,0.0523 ± 0.0313,0.9022 ± 0.0533,0.0878 ± 0.0449
HC with fairness constraints and equal number of class 1 and class 0 lambda = 5.0,xgboost,0.5765 ± 0.0030,0.5381 ± 0.0168,0.5565 ± 0.0090,0.5327 ± 0.0031,0.5327 ± 0.0031,0.0315 ± 0.0212,0.9407 ± 0.0387,0.0638 ± 0.0285
HC with fairness constraints and equal number of class 1 and class 0 lambda = 5.0,mlp,0.5588 ± 0.0140,0.5631 ± 0.1349,0.5541 ± 0.0689,0.5175 ± 0.0145,0.5175 ± 0.0145,0.0460 ± 0.0280,0.9247 ± 0.0385,0.0758 ± 0.0250
HC with fairness constraints and equal number of protected attribute lambda = 5.0,logistic_regression,0.6073 ± 0.0070,0.5771 ± 0.0118,0.5917 ± 0.0082,0.5654 ± 0.0072,0.5654 ± 0.0072,0.0695 ± 0.0309,0.8783 ± 0.0505,0.1055 ± 0.0366
HC with fairness constraints and equal number of protected attribute lambda = 5.0,random_forest,0.5737 ± 0.0089,0.5327 ± 0.0342,0.5519 ± 0.0199,0.5297 ± 0.0092,0.5297 ± 0.0092,0.0523 ± 0.0313,0.9022 ± 0.0533,0.0878 ± 0.0449
HC with fairness constraints and equal number of protected attribute lambda = 5.0,xgboost,0.5765 ± 0.0030,0.5381 ± 0.0168,0.5565 ± 0.0090,0.5327 ± 0.0031,0.5327 ± 0.0031,0.0315 ± 0.0212,0.9407 ± 0.0387,0.0638 ± 0.0285
HC with fairness constraints and equal number of protected attribute lambda = 5.0,mlp,0.5622 ± 0.0105,0.5524 ± 0.1147,0.5519 ± 0.0609,0.5201 ± 0.0155,0.5201 ± 0.0155,0.0828 ± 0.0546,0.8556 ± 0.0815,0.1043 ± 0.0564
HC with fairness constraints and same size as original dataset lambda = 50.0,logistic_regression,0.6621 ± 0.0053,0.7375 ± 0.0080,0.6977 ± 0.0031,0.6437 ± 0.0046,0.6437 ± 0.0046,0.1190 ± 0.0138,0.8261 ± 0.0190,0.1899 ± 0.0154
HC with fairness constraints and same size as original dataset lambda = 50.0,random_forest,0.6408 ± 0.0081,0.7182 ± 0.0175,0.6772 ± 0.0097,0.6183 ± 0.0095,0.6183 ± 0.0095,0.1012 ± 0.0312,0.8513 ± 0.0442,0.1419 ± 0.0525
HC with fairness constraints and same size as original dataset lambda = 50.0,xgboost,0.6413 ± 0.0035,0.7253 ± 0.0157,0.6807 ± 0.0086,0.6201 ± 0.0059,0.6201 ± 0.0059,0.0770 ± 0.0338,0.8858 ± 0.0479,0.1334 ± 0.0282
HC with fairness constraints and same size as original dataset lambda = 50.0,mlp,0.6374 ± 0.0171,0.6798 ± 0.0592,0.6558 ± 0.0210,0.6070 ± 0.0092,0.6070 ± 0.0092,0.0721 ± 0.0473,0.8834 ± 0.0815,0.0997 ± 0.0426
HC with fairness constraints and double the size of original dataset lambda = 50.0,logistic_regression,0.6809 ± 0.0031,0.7131 ± 0.0080,0.6966 ± 0.0045,0.6567 ± 0.0037,0.6567 ± 0.0037,0.0983 ± 0.0177,0.8456 ± 0.0240,0.1771 ± 0.0257
HC with fairness constraints and double the size of original dataset lambda = 50.0,random_forest,0.6626 ± 0.0095,0.7137 ± 0.0080,0.6871 ± 0.0061,0.6394 ± 0.0092,0.6394 ± 0.0092,0.0547 ± 0.0197,0.9126 ± 0.0307,0.0980 ± 0.0120
HC with fairness constraints and double the size of original dataset lambda = 50.0,xgboost,0.6696 ± 0.0064,0.7188 ± 0.0151,0.6932 ± 0.0071,0.6473 ± 0.0062,0.6473 ± 0.0062,0.0793 ± 0.0169,0.8755 ± 0.0256,0.1540 ± 0.0258
HC with fairness constraints and double the size of original dataset lambda = 50.0,mlp,0.6491 ± 0.0065,0.6967 ± 0.0306,0.6716 ± 0.0122,0.6229 ± 0.0043,0.6229 ± 0.0043,0.0288 ± 0.0101,0.9524 ± 0.0150,0.0957 ± 0.0250
HC with fairness constraints and equal number of class 1 and class 0 lambda = 50.0,logistic_regression,0.6854 ± 0.0028,0.6685 ± 0.0087,0.6768 ± 0.0051,0.6508 ± 0.0036,0.6508 ± 0.0036,0.1179 ± 0.0074,0.8061 ± 0.0123,0.2017 ± 0.0052
HC with fairness constraints and equal number of class 1 and class 0 lambda = 50.0,random_forest,0.6602 ± 0.0058,0.6536 ± 0.0156,0.6567 ± 0.0068,0.6255 ± 0.0043,0.6255 ± 0.0043,0.1397 ± 0.0289,0.7788 ± 0.0434,0.1900 ± 0.0312
HC with fairness constraints and equal number of class 1 and class 0 lambda = 50.0,xgboost,0.6704 ± 0.0052,0.6667 ± 0.0102,0.6684 ± 0.0037,0.6372 ± 0.0034,0.6372 ± 0.0034,0.1317 ± 0.0308,0.7909 ± 0.0462,0.1946 ± 0.0370
HC with fairness constraints and equal number of class 1 and class 0 lambda = 50.0,mlp,0.6614 ± 0.0159,0.6339 ± 0.0567,0.6454 ± 0.0243,0.6216 ± 0.0074,0.6216 ± 0.0074,0.1215 ± 0.0403,0.8007 ± 0.0506,0.1762 ± 0.0236
HC with fairness constraints and equal number of protected attribute lambda = 50.0,logistic_regression,0.6854 ± 0.0028,0.6685 ± 0.0087,0.6768 ± 0.0051,0.6508 ± 0.0036,0.6508 ± 0.0036,0.1179 ± 0.0074,0.8061 ± 0.0123,0.2017 ± 0.0052
HC with fairness constraints and equal number of protected attribute lambda = 50.0,random_forest,0.6602 ± 0.0058,0.6536 ± 0.0156,0.6567 ± 0.0068,0.6255 ± 0.0043,0.6255 ± 0.0043,0.1397 ± 0.0289,0.7788 ± 0.0434,0.1900 ± 0.0312
HC with fairness constraints and equal number of protected attribute lambda = 50.0,xgboost,0.6704 ± 0.0052,0.6667 ± 0.0102,0.6684 ± 0.0037,0.6372 ± 0.0034,0.6372 ± 0.0034,0.1317 ± 0.0308,0.7909 ± 0.0462,0.1946 ± 0.0370
HC with fairness constraints and equal number of protected attribute lambda = 50.0,mlp,0.6445 ± 0.0092,0.6595 ± 0.0419,0.6510 ± 0.0187,0.6118 ± 0.0074,0.6118 ± 0.0074,0.1399 ± 0.0397,0.7837 ± 0.0635,0.1899 ± 0.0461
HC with fairness constraints and same size as original dataset lambda = 6.0,logistic_regression,0.6469 ± 0.0037,0.7577 ± 0.0134,0.6979 ± 0.0042,0.6315 ± 0.0028,0.6315 ± 0.0028,0.1067 ± 0.0318,0.8506 ± 0.0410,0.1299 ± 0.0301
HC with fairness constraints and same size as original dataset lambda = 6.0,random_forest,0.6271 ± 0.0034,0.6890 ± 0.0096,0.6565 ± 0.0043,0.5995 ± 0.0035,0.5995 ± 0.0035,0.0917 ± 0.0255,0.8616 ± 0.0355,0.1602 ± 0.0279
HC with fairness constraints and same size as original dataset lambda = 6.0,xgboost,0.6265 ± 0.0065,0.7220 ± 0.0056,0.6708 ± 0.0038,0.6035 ± 0.0070,0.6035 ± 0.0070,0.1145 ± 0.0284,0.8375 ± 0.0387,0.1757 ± 0.0294
HC with fairness constraints and same size as original dataset lambda = 6.0,mlp,0.6140 ± 0.0024,0.6714 ± 0.0453,0.6406 ± 0.0199,0.5832 ± 0.0047,0.5832 ± 0.0047,0.0631 ± 0.0368,0.8998 ± 0.0596,0.1118 ± 0.0220
HC with fairness constraints and double the size of original dataset lambda = 6.0,logistic_regression,0.6648 ± 0.0050,0.6810 ± 0.0076,0.6727 ± 0.0021,0.6351 ± 0.0035,0.6351 ± 0.0035,0.1525 ± 0.0157,0.7685 ± 0.0173,0.1868 ± 0.0169
HC with fairness constraints and double the size of original dataset lambda = 6.0,random_forest,0.6423 ± 0.0024,0.6908 ± 0.0097,0.6656 ± 0.0038,0.6153 ± 0.0019,0.6153 ± 0.0019,0.1297 ± 0.0290,0.8071 ± 0.0400,0.1570 ± 0.0305
HC with fairness constraints and double the size of original dataset lambda = 6.0,xgboost,0.6480 ± 0.0043,0.6893 ± 0.0082,0.6680 ± 0.0044,0.6208 ± 0.0044,0.6208 ± 0.0044,0.1154 ± 0.0301,0.8248 ± 0.0397,0.1493 ± 0.0385
HC with fairness constraints and double the size of original dataset lambda = 6.0,mlp,0.6305 ± 0.0044,0.6687 ± 0.0252,0.6487 ± 0.0100,0.5999 ± 0.0029,0.5999 ± 0.0029,0.0976 ± 0.0221,0.8486 ± 0.0308,0.1138 ± 0.0283
HC with fairness constraints and equal number of class 1 and class 0 lambda = 6.0,logistic_regression,0.6696 ± 0.0063,0.6625 ± 0.0047,0.6660 ± 0.0028,0.6357 ± 0.0051,0.6357 ± 0.0051,0.1123 ± 0.0177,0.8168 ± 0.0265,0.1265 ± 0.0240
HC with fairness constraints and equal number of class 1 and class 0 lambda = 6.0,random_forest,0.6216 ± 0.0045,0.6432 ± 0.0137,0.6321 ± 0.0048,0.5874 ± 0.0031,0.5874 ± 0.0031,0.0767 ± 0.0319,0.8763 ± 0.0491,0.0957 ± 0.0417
HC with fairness constraints and equal number of class 1 and class 0 lambda = 6.0,xgboost,0.6342 ± 0.0098,0.6598 ± 0.0124,0.6466 ± 0.0067,0.6022 ± 0.0091,0.6022 ± 0.0091,0.0945 ± 0.0222,0.8497 ± 0.0346,0.1093 ± 0.0324
HC with fairness constraints and equal number of class 1 and class 0 lambda = 6.0,mlp,0.6135 ± 0.0087,0.6199 ± 0.0477,0.6155 ± 0.0199,0.5758 ± 0.0049,0.5758 ± 0.0049,0.0946 ± 0.0451,0.8454 ± 0.0747,0.1165 ± 0.0688
HC with fairness constraints and equal number of protected attribute lambda = 6.0,logistic_regression,0.6696 ± 0.0063,0.6625 ± 0.0047,0.6660 ± 0.0028,0.6357 ± 0.0051,0.6357 ± 0.0051,0.1123 ± 0.0177,0.8168 ± 0.0265,0.1265 ± 0.0240
HC with fairness constraints and equal number of protected attribute lambda = 6.0,random_forest,0.6216 ± 0.0045,0.6432 ± 0.0137,0.6321 ± 0.0048,0.5874 ± 0.0031,0.5874 ± 0.0031,0.0767 ± 0.0319,0.8763 ± 0.0491,0.0957 ± 0.0417
HC with fairness constraints and equal number of protected attribute lambda = 6.0,xgboost,0.6342 ± 0.0098,0.6598 ± 0.0124,0.6466 ± 0.0067,0.6022 ± 0.0091,0.6022 ± 0.0091,0.0945 ± 0.0222,0.8497 ± 0.0346,0.1093 ± 0.0324
HC with fairness constraints and equal number of protected attribute lambda = 6.0,mlp,0.5992 ± 0.0115,0.6899 ± 0.0472,0.6404 ± 0.0179,0.5684 ± 0.0110,0.5684 ± 0.0110,0.0471 ± 0.0185,0.9270 ± 0.0313,0.0643 ± 0.0206
HC with fairness constraints and same size as original dataset lambda = 7.0,logistic_regression,0.6603 ± 0.0033,0.7000 ± 0.0045,0.6796 ± 0.0005,0.6347 ± 0.0024,0.6347 ± 0.0024,0.1019 ± 0.0098,0.8419 ± 0.0129,0.1397 ± 0.0171
HC with fairness constraints and same size as original dataset lambda = 7.0,random_forest,0.6216 ± 0.0041,0.6292 ± 0.0161,0.6253 ± 0.0088,0.5856 ± 0.0051,0.5856 ± 0.0051,0.0556 ± 0.0281,0.9061 ± 0.0453,0.1074 ± 0.0258
HC with fairness constraints and same size as original dataset lambda = 7.0,xgboost,0.6414 ± 0.0020,0.6649 ± 0.0072,0.6529 ± 0.0030,0.6102 ± 0.0017,0.6102 ± 0.0017,0.0673 ± 0.0099,0.8895 ± 0.0153,0.1013 ± 0.0210
HC with fairness constraints and same size as original dataset lambda = 7.0,mlp,0.6133 ± 0.0058,0.6408 ± 0.0513,0.6259 ± 0.0271,0.5791 ± 0.0105,0.5791 ± 0.0105,0.0759 ± 0.0386,0.8816 ± 0.0512,0.1030 ± 0.0540
HC with fairness constraints and double the size of original dataset lambda = 7.0,logistic_regression,0.6516 ± 0.0031,0.7185 ± 0.0054,0.6834 ± 0.0021,0.6295 ± 0.0028,0.6295 ± 0.0028,0.1556 ± 0.0193,0.7788 ± 0.0225,0.2005 ± 0.0256
HC with fairness constraints and double the size of original dataset lambda = 7.0,random_forest,0.6292 ± 0.0065,0.7137 ± 0.0108,0.6687 ± 0.0046,0.6052 ± 0.0065,0.6052 ± 0.0065,0.0783 ± 0.0178,0.8832 ± 0.0253,0.0713 ± 0.0151
HC with fairness constraints and double the size of original dataset lambda = 7.0,xgboost,0.6450 ± 0.0045,0.7092 ± 0.0136,0.6755 ± 0.0048,0.6212 ± 0.0033,0.6212 ± 0.0033,0.1010 ± 0.0121,0.8480 ± 0.0185,0.0919 ± 0.0238
HC with fairness constraints and double the size of original dataset lambda = 7.0,mlp,0.6263 ± 0.0054,0.6881 ± 0.0212,0.6557 ± 0.0116,0.5987 ± 0.0079,0.5987 ± 0.0079,0.0741 ± 0.0351,0.8875 ± 0.0499,0.0664 ± 0.0301
HC with fairness constraints and equal number of class 1 and class 0 lambda = 7.0,logistic_regression,0.6568 ± 0.0045,0.6964 ± 0.0039,0.6760 ± 0.0029,0.6306 ± 0.0043,0.6306 ± 0.0043,0.1345 ± 0.0142,0.7980 ± 0.0181,0.1773 ± 0.0227
HC with fairness constraints and equal number of class 1 and class 0 lambda = 7.0,random_forest,0.6275 ± 0.0138,0.6589 ± 0.0199,0.6426 ± 0.0125,0.5953 ± 0.0145,0.5953 ± 0.0145,0.0949 ± 0.0395,0.8515 ± 0.0581,0.1318 ± 0.0309
